"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCMap.hpp", "C++", 4, 7, 1, 12
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCMap.cpp", "C++", 34, 17, 6, 57
"c:\Users\pc\Desktop\C++\DCompress\src\main.cpp", "C++", 1, 0, 0, 1
"Total", "-", 39, 24, 7, 70
